date,close,open,high,low,volume,percent,code
2021-03-18,1303.58,1286.92,1313.805,1286.79,22M,1.97%,AZO
2021-03-19,1324.76,1299.26,1339.87,1293.05,52M,1.41%,AZO
2021-03-22,1341.22,1325.95,1343.915,1325.61,26M,0.62%,AZO
2021-03-23,1323.57,1343.06,1354.18,1322.745,23M,-2.16%,AZO
2021-03-24,1353.49,1330.56,1363.625,1329.2096,28M,1.41%,AZO
2021-03-25,1374.41,1349.47,1378.2,1343.31,30M,-4.05%,AZO
2021-03-26,1413.73,1374.26,1424.01,1370.79,28M,4.23%,AZO
2021-03-29,1432.28,1416.84,1440.55,1409.94,25M,-1.39%,AZO
2021-03-30,1425.36,1432.28,1446.2448,1405.28,22M,0.0%,AZO
2021-03-31,1404.3,1429.83,1429.83,1402.202,22M,2.86%,AZO
2021-04-01,1418.84,1407.92,1422.91,1397.2,16M,1.45%,AZO
2021-04-05,1415.88,1425.0,1431.93,1413.06,14M,-1.43%,AZO
2021-04-06,1431.85,1410.53,1441.0,1409.04,20M,0.0%,AZO
2021-04-07,1423.27,1438.08,1439.96,1414.23,16M,0.0%,AZO
2021-04-08,1417.15,1421.22,1423.315,1408.12,13M,-1.41%,AZO
2021-04-09,1438.5,1422.27,1441.89,1409.73,24M,-1.39%,AZO
2021-04-12,1454.19,1439.8,1458.18,1433.49,20M,0.0%,AZO
2021-04-13,1435.91,1454.91,1454.91,1430.5,14M,0.0%,AZO
2021-04-14,1450.89,1437.85,1455.36,1424.1,17M,-1.37%,AZO
2021-04-15,1467.44,1451.01,1470.93,1450.72,10M,2.82%,AZO
2021-04-16,1495.84,1475.84,1499.74,1468.8829,23M,0.0%,AZO
2021-04-19,1504.3,1495.74,1516.59,1494.2,14M,-4.05%,AZO
2021-04-20,1514.11,1512.35,1524.98,1501.69,16M,4.23%,AZO
2021-04-21,1486.89,1500.97,1515.87,1483.55,19M,-1.39%,AZO
2021-04-22,1478.87,1488.61,1490.73,1465.095,18M,1.87%,AZO
2021-04-23,1471.35,1487.02,1487.02,1451.77,17M,0.09%,AZO
2021-04-26,1443.88,1466.52,1467.001,1443.18,16M,0.15%,AZO
2021-04-27,1455.79,1451.33,1462.16,1441.7,18M,1.15%,AZO
2021-04-28,1460.0,1464.25,1478.85,1453.14,17M,0.15%,AZO
2021-04-29,1474.96,1468.27,1478.5625,1452.065,19M,-0.01%,AZO
2021-04-30,1464.12,1472.45,1477.805,1463.34,20M,0.27%,AZO
2021-05-03,1475.83,1475.6,1488.24,1467.46,14M,1.09%,AZO
2021-05-04,1477.0,1479.86,1488.49,1469.86,21M,-0.82%,AZO
2021-05-05,1472.11,1481.01,1481.98,1454.45,17M,0.3%,AZO
2021-05-06,1488.85,1478.0,1493.0088,1474.84,17M,-3.11%,AZO
2021-05-07,1507.2,1491.47,1510.08,1480.26,16M,0.25%,AZO
2021-05-10,1519.62,1513.17,1542.3,1507.28,18M,-1.37%,AZO
2021-05-11,1495.13,1513.89,1516.11,1478.68,19M,-1.64%,AZO
2021-05-12,1495.88,1505.25,1519.76,1488.88,26M,-1.44%,AZO
2021-05-13,1533.76,1495.19,1541.26,1495.19,18M,-0.91%,AZO
2021-05-14,1527.58,1538.09,1539.45,1501.7,13M,-0.38%,AZO
2021-05-17,1531.89,1529.41,1540.27,1523.335,13M,0.54%,AZO
2021-05-18,1510.87,1532.09,1538.95,1509.3,16M,-0.34%,AZO
2021-05-19,1466.82,1500.29,1502.48,1458.62,22M,1.5%,AZO
2021-05-20,1471.77,1466.8,1488.64,1466.62,13M,-2.23%,AZO
2021-05-21,1460.26,1475.01,1487.17,1452.745,28M,percent,AZO
2021-05-24,1448.4,1461.03,1472.16,1442.24,25M,1.69%,AZO
2021-05-25,1420.56,1453.6,1455.0,1411.23,43M,1.98%,AZO
2021-05-26,1410.0,1415.61,1419.02,1388.85,28M,-0.74%,AZO
2021-05-27,1411.22,1420.64,1425.52,1406.06,23M,-2.63%,AZO
2021-05-28,1406.6,1408.0,1422.48,1405.53,17M,2.44%,AZO
2021-06-01,1410.85,1414.81,1415.72,1398.02,19M,-0.24%,AZO
