Action_Cash,Action_AAPL,Action_V,Action_SNE,Action_ADBE,Action_BABA,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1
0.1667335,0.16665266,0.16661723,0.16660571,0.16657963,0.16681132,1.0,1.0,1.0,1.0,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912
0.16673288,0.16665295,0.16661732,0.16660587,0.1665793,0.16681165,1.0,1.0,1.0,1.0,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858
0.16673228,0.16665357,0.16661732,0.16660593,0.16657925,0.1668117,1.0,1.0,1.0,1.0,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585
0.16673128,0.16665433,0.16661736,0.16660576,0.16657934,0.16681191,1.0,1.0,1.0,1.0,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111
0.16673128,0.16665383,0.1666175,0.16660567,0.1665796,0.16681215,1.0,1.0,1.0,1.0,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065
0.1667316,0.16665374,0.16661747,0.16660553,0.16657928,0.16681233,1.0,1.0,1.0,1.0,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002
0.16673231,0.1666534,0.1666176,0.16660537,0.16657898,0.16681235,1.0,1.0,1.0,1.0,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747
0.1667322,0.16665383,0.16661729,0.16660519,0.16657898,0.16681248,1.0,1.0,1.0,1.0,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872
0.16673209,0.1666535,0.16661726,0.16660514,0.16657926,0.16681275,1.0,1.0,1.0,1.0,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585
0.16673262,0.16665326,0.16661713,0.16660509,0.16657917,0.16681269,1.0,1.0,1.0,1.0,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638
