,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1
422,1.0,1.0,1.0,1.0,0.89043343,0.91279572,0.89043343,0.9034709,0.96532297,0.98377853,0.96532297,0.98076736,1.13449493,1.16399043,1.12800364,1.15932126,1.15768819,1.17516946,1.15768819,1.17374242,1.04242502,1.06139451,1.04242502,1.05613945
230,1.0,1.0,1.0,1.0,1.02123985,1.03488171,1.01718183,1.02728372,0.8703254,0.90218553,0.86663429,0.89907722,0.96526592,0.96947956,0.95888851,0.96572144,0.90260435,0.90724224,0.89725294,0.90545844,1.01961036,1.03165855,1.01345809,1.02704435
260,1.0,1.0,1.0,1.0,0.83146261,0.84510447,0.81972026,0.83802452,0.85478388,0.87353084,0.84643031,0.86100049,0.80537524,0.81596629,0.7646054,0.78328209,0.75490546,0.7663218,0.74348912,0.74669996,0.91720072,0.92706998,0.89848757,0.90643425
288,1.0,1.0,1.0,1.0,0.8679848,0.87005698,0.84113279,0.84311863,0.85837785,0.85857212,0.821661,0.83457989,0.80696959,0.81813005,0.79558137,0.79740348,0.77095969,0.77452729,0.75775954,0.75954335,0.95667777,0.95667777,0.9343758,0.93552935
162,1.0,1.0,1.0,1.0,0.97357969,0.98886203,0.96701779,0.96727681,0.76318601,0.77416221,0.76056338,0.77105391,0.75298941,0.78920396,0.75185059,0.78783738,0.91972886,0.92864788,0.91723154,0.9211559,0.91386824,0.92386568,0.90771597,0.92168675
423,1.0,1.0,1.0,1.0,0.91037817,0.91279572,0.88525298,0.88628907,0.97445362,0.97620204,0.96163186,0.96338028,1.14793304,1.15453821,1.10465778,1.10898531,1.16553692,1.16803425,1.14484481,1.14627185,1.06344527,1.06549603,1.04050244,1.04255319
138,1.0,1.0,1.0,1.0,1.0652737,1.06984977,1.05810741,1.0652737,0.78280719,0.78339,0.76862555,0.77775619,0.91743537,0.92016855,0.9025168,0.91868808,1.04316803,1.04352479,1.02497324,1.0353193,0.9579595,0.96359908,0.94655217,0.95231992
62,1.0,1.0,1.0,1.0,1.0927301,1.09290278,1.07632533,1.0865999,0.74142788,0.74162215,0.73054881,0.73453133,0.98098166,0.99863341,0.97027673,0.99111718,1.06671423,1.0706386,1.05315733,1.06100606,0.85157652,0.85644706,0.8428608,0.85324276
135,1.0,1.0,1.0,1.0,1.08064238,1.09730616,1.07977897,1.08962183,0.78329286,0.79067508,0.78173871,0.78484701,0.95524428,0.96765744,0.9480697,0.96412709,1.04174099,1.05244381,1.03995719,1.0488762,0.91963599,0.9260446,0.91258652,0.92540374
128,1.0,1.0,1.0,1.0,1.08452772,1.09108962,1.07960629,1.08824037,0.79543468,0.79990287,0.78912093,0.79329772,0.9281403,0.93406218,0.92392666,0.92905136,1.00963254,1.01391366,1.00856225,1.01212986,0.89848757,0.90105101,0.89041271,0.89682133
474,1.0,1.0,1.0,1.0,0.96529097,0.9706441,0.96183733,0.96658608,1.0219524,1.03312288,1.02030112,1.02816901,1.06149641,1.07527616,1.060927,1.07322628,1.07670353,1.07991438,1.07135212,1.07848733,1.0244809,1.04703922,1.01589336,1.04703922
8,1.0,1.0,1.0,1.0,0.94586427,0.95890174,0.93481264,0.94068382,0.69490044,0.69830015,0.6835357,0.69120932,1.17628972,1.182781,1.14246669,1.14736363,0.7816625,0.78879772,0.77702462,0.7798787,0.824404,0.83196616,0.81543194,0.82081518
326,1.0,1.0,1.0,1.0,0.9072699,0.91219133,0.90234847,0.90657917,0.93054881,0.93288004,0.91520155,0.91675571,0.89784763,0.90923585,0.89602551,0.90878032,0.91687478,0.9175883,0.90831252,0.91402069,1.00153807,1.01051013,0.99743655,1.00858754
461,1.0,1.0,1.0,1.0,0.94828182,0.96235538,0.94586427,0.95821102,1.04099077,1.05060709,1.03428849,1.0348713,1.11319895,1.1308507,1.09850814,1.11650154,1.12022833,1.1259365,1.11808776,1.12450945,1.03370931,1.03986157,1.03229941,1.03499103
64,1.0,1.0,1.0,1.0,1.09523398,1.11008461,1.0931618,1.1083578,0.73841671,0.74793589,0.73715396,0.74249636,0.95979957,0.97608473,0.95456098,0.9698212,1.08348198,1.09347128,1.08134142,1.08669283,0.84093822,0.85619072,0.8396565,0.84875673
300,1.0,1.0,1.0,1.0,0.91348644,0.91927128,0.90623381,0.9110689,0.87382224,0.87625061,0.84749879,0.86119475,0.84557567,0.84694226,0.83714839,0.83999544,0.93078844,0.93257224,0.9158045,0.92008562,0.93745194,0.94424507,0.92501923,0.92642912
14,1.0,1.0,1.0,1.0,1.02659299,1.02909687,0.99775514,1.00431704,0.69587178,0.6976202,0.67780476,0.68023312,1.02277645,1.0333675,0.9948753,1.03097597,0.84088477,0.84195505,0.83446308,0.84052801,0.79466803,0.79723148,0.7855678,0.79312997
156,1.0,1.0,1.0,1.0,0.91314108,0.96615438,0.91210499,0.95346227,0.76610005,0.79805731,0.76610005,0.79592035,0.77644915,0.80469195,0.77644915,0.78943173,0.87442026,0.90260435,0.8740635,0.89475562,0.91245834,0.9436042,0.90951038,0.92924891
40,1.0,1.0,1.0,1.0,1.09773787,1.1187187,1.07977897,1.10481782,0.7569694,0.75998057,0.75211268,0.75531812,0.93987017,0.96059674,0.92791254,0.96059674,0.97288619,0.97431324,0.9664645,0.96860507,0.86977698,0.87221225,0.86221482,0.86682902
379,1.0,1.0,1.0,1.0,0.83733379,0.84311863,0.83517527,0.83534795,0.94356484,0.94754735,0.9403594,0.94201068,0.92768477,0.93269559,0.90240292,0.90342786,1.11309311,1.117731,1.10702818,1.10809847,0.98077416,0.9893617,0.97910792,0.98449116
