,Action_Cash,Action_AAPL,Action_ADBE,Action_BABA,Action_SNE,Action_V
345,0.11701883,0.14913511,0.0781819,0.2135353,0.05965937,0.3824695
264,0.14043403,0.2340022,0.10691781,0.14009939,0.27545044,0.10309608
241,0.10656036,0.15290986,0.24724945,0.0632831,0.07291307,0.3570841
13,0.07342533,0.11329942,0.25268424,0.27002677,0.04872812,0.24183604
315,0.21739766,0.25996095,0.16287978,0.17943147,0.05362194,0.12670814
88,0.33010522,0.09077182,0.15114956,0.08916265,0.02944049,0.30937025
387,0.06661145,0.5095272,0.09197239,0.17770454,0.09458872,0.05959576
273,0.08483358,0.2905428,0.16676429,0.12564677,0.1634717,0.16874093
166,0.04884678,0.15488873,0.6250795,0.03226999,0.04127323,0.09764177
328,0.20985888,0.04508197,0.15592967,0.20885941,0.1797304,0.2005397
490,0.05277159,0.1411397,0.40160537,0.14618258,0.03528648,0.22301427
134,0.03180245,0.06513649,0.27636227,0.22281072,0.29306382,0.11082423
306,0.12038693,0.2711035,0.07222082,0.13710679,0.2058718,0.1933101
478,0.286742,0.26418367,0.10468315,0.08520755,0.10342569,0.15575793
319,0.2105819,0.14355664,0.15473399,0.29084364,0.13575178,0.06453199
243,0.26434305,0.11115667,0.16856425,0.13293804,0.15589176,0.16710626
54,0.20193736,0.43523782,0.11400817,0.05894113,0.14866017,0.04121539
363,0.07422263,0.03535693,0.12833323,0.14390424,0.12584679,0.4923362
50,0.12004179,0.40427065,0.14482844,0.14855175,0.06872999,0.11357735
454,0.06605101,0.02161828,0.12322117,0.01171995,0.7492958,0.02809388
174,0.08398589,0.24329285,0.11518301,0.18801723,0.08129317,0.28822783
445,0.15514712,0.13752387,0.17797476,0.27082378,0.04205966,0.21647084
189,0.09964024,0.3633482,0.3061665,0.1089469,0.04701165,0.07488659
494,0.20812392,0.2338276,0.17318466,0.08473182,0.08703172,0.21310024
187,0.36421216,0.15219918,0.08595318,0.2072098,0.02839933,0.1620263
169,0.11044147,0.07584602,0.19018498,0.12140021,0.21545738,0.28666997
58,0.06942838,0.08992432,0.2599479,0.21707097,0.21925335,0.14437512
48,0.27170527,0.16628757,0.18308234,0.04553537,0.02866772,0.30472168
344,0.40782347,0.0460898,0.09765475,0.26241463,0.10608271,0.07993454
235,0.06746438,0.28104717,0.3047797,0.18071258,0.13995147,0.02604473
