State,Action
[[[[1.0 1.0 1.0 1.0 ]] [[1.09108962 1.09134864 1.07062683 1.07105854]] [[0.71491015 0.71743565 0.71005342 0.71403594]] [[0.95547204 0.96970732 0.95376381 0.96834074]] [[0.9664645 0.96824831 0.96396718 0.96539422]] [[0.84157908 0.85003845 0.83952833 0.84619328]]]],[[0.3721883 0.20755847 0.03820925 0.12194538 0.05555613 0.20454241]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07433949 1.09212571 1.07373511 1.08867208]] [[0.71821272 0.7246236 0.70849927 0.71015056]] [[0.94795581 0.96173557 0.94750028 0.9525111 ]] [[0.95540492 0.95718873 0.94862647 0.95255084]] [[0.83837478 0.84850038 0.83811843 0.83914381]]]],[[0.08019286 0.38681936 0.14886382 0.18824229 0.10203898 0.09384269]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07278536 1.08029701 1.06285616 1.07770679]] [[0.72918893 0.72948033 0.70937348 0.71500729]] [[0.93793418 0.95342216 0.9358843 0.94943628]] [[0.97252943 0.98002141 0.96325366 0.97966465]] [[0.83542681 0.83978467 0.82607024 0.83888746]]]],[[0.14320908 0.22620708 0.26048627 0.14704573 0.0675168 0.15553497]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.08202383 1.08409601 1.07226731 1.07951994]] [[0.73511413 0.73987373 0.72472074 0.73016027]] [[0.93702312 0.94522264 0.92529325 0.94385605]] [[0.99357831 0.9982162 0.99036746 0.99571887]] [[0.83683671 0.84106639 0.83068444 0.83299154]]]],[[0.20886882 0.0667236 0.21778034 0.28304207 0.10690468 0.11668045]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09955103 1.10093248 1.07347608 1.07468486]] [[0.74045653 0.74453618 0.72608062 0.72977173]] [[0.93178453 0.94055347 0.92939301 0.93440383]] [[1.0470924 1.0552979 1.03853015 1.04281127]] [[0.83568316 0.84132274 0.82555755 0.82965906]]]],[[0.14878562 0.03929378 0.45650575 0.04971961 0.16499081 0.14070447]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.08798135 1.10619927 1.08772233 1.10205491]] [[0.73482273 0.74482759 0.73453133 0.73890238]] [[0.93622594 0.94465323 0.93246783 0.93315112]] [[1.0335355 1.04495184 1.03175169 1.04495184]] [[0.84337349 0.84837221 0.83709305 0.83799026]]]],[[0.03942942 0.1115582 0.3293305 0.1935567 0.11433359 0.21179165]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.08444137 1.09134864 1.0790019 1.0865999 ]] [[0.7327829 0.74162215 0.7296746 0.73511413]] [[0.9724405 0.97414873 0.94601982 0.94863911]] [[1.05315733 1.05565466 1.04637888 1.04851944]] [[0.85234555 0.85670341 0.84337349 0.84452704]]]],[[0.32898214 0.20158017 0.08601778 0.13055421 0.12861085 0.12425482]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.0927301 1.09290278 1.07632533 1.0865999 ]] [[0.74142788 0.74162215 0.73054881 0.73453133]] [[0.98098166 0.99863341 0.97027673 0.99111718]] [[1.06671423 1.0706386 1.05315733 1.06100606]] [[0.85157652 0.85644706 0.8428608 0.85324276]]]],[[0.21177575 0.34549817 0.12557927 0.20588379 0.02315588 0.08810718]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09739251 1.09834226 1.08150578 1.08746331]] [[0.74337057 0.74434191 0.73822244 0.74113647]] [[0.96321603 0.98724519 0.9583191 0.98713131]] [[1.09026044 1.09489832 1.08562255 1.08990367]] [[0.8502948 0.85478083 0.84503973 0.85478083]]]],[[0.05523906 0.3932223 0.2156362 0.03151455 0.1566837 0.14770423]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09523398 1.11008461 1.0931618 1.1083578 ]] [[0.73841671 0.74793589 0.73715396 0.74249636]] [[0.95979957 0.97608473 0.95456098 0.9698212 ]] [[1.08348198 1.09347128 1.08134142 1.08669283]] [[0.84093822 0.85619072 0.8396565 0.84875673]]]],[[0.03076884 0.43019974 0.07123734 0.18274376 0.19700359 0.08804667]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09048524 1.09903298 1.08711794 1.0965291 ]] [[0.73773677 0.74405051 0.73423992 0.73841671]] [[0.96799909 0.96947956 0.9512584 0.96378545]] [[1.11059579 1.11844452 1.10060649 1.1159472 ]] [[0.83991284 0.84516791 0.83158165 0.83978467]]]],[[0.04915885 0.50355047 0.19222565 0.10729083 0.08720011 0.06057411]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.0946296 1.09765153 1.08798135 1.09143499]] [[0.73851384 0.74307916 0.73725109 0.73909665]] [[0.96424097 0.97209885 0.95843298 0.96891015]] [[1.13271495 1.13342847 1.11987157 1.12843382]] [[0.84183543 0.84478339 0.83696488 0.84081005]]]],[[0.07013794 0.09351872 0.09543002 0.62902766 0.06557199 0.04631367]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.0893628 1.09739251 1.08884476 1.09031255]] [[0.729966 0.73521127 0.7293832 0.7324915 ]] [[0.95729416 0.97255438 0.95535816 0.96970732]] [[1.10881199 1.11237959 1.09989297 1.1023903 ]] [[0.84145091 0.84606511 0.83760574 0.83991284]]]],[[0.12565804 0.07666326 0.26682046 0.33856815 0.07668389 0.11560619]]
