Action_Cash,Action_AAPL,Action_ADBE,Action_BABA,Action_SNE,Action_V,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,Wealth,Return,Price_Cash,Price_AAPL,Price_ADBE,Price_BABA,Price_SNE,Price_V
0.16199858,0.07841591,0.17497323,0.22829485,0.11315744,0.24316001,1.0,1.0,1.0,1.0,1.05543084,1.07727508,1.05430841,1.0771024,0.73831957,0.74579893,0.73511413,0.73734823,0.93372053,0.94955017,0.92460995,0.94522264,0.95754549,0.95932929,0.95397788,0.95611844,0.84837221,0.85670341,0.8428608,0.8511920000000001,9641.406468917585,-0.007835103772280229,1.000,0.993,1.003,0.999,0.979,0.983
0.07173736,0.13720202,0.16903462,0.37087909999999996,0.18929406,0.06185279,1.0,1.0,1.0,1.0,1.07451217,1.07839751,1.05016405,1.05603523,0.75182127,0.75220981,0.73793103,0.73958232,0.93292336,0.94408382,0.92848195,0.93497324,0.96789154,0.96824831,0.96396718,0.96396718,0.86375288,0.86516278,0.85337093,0.85362728,9711.209500024595,0.007213839609925415,1.000,1.011,1.009,1.026,0.972,1.015
0.0641842,0.03301277,0.37266606,0.15802485,0.08913076,0.28298140000000005,1.0,1.0,1.0,1.0,1.06708686,1.08271456,1.05836643,1.07408047,0.75395823,0.75823215,0.74424478,0.74968431,0.93224006,0.93292336,0.9198269,0.93155677,0.94755619,0.95005351,0.94220478,0.95005351,0.84926942,0.86144578,0.84747501,0.86144578,9751.810683604872,0.0041721420511115215,1.000,1.017,1.017,1.006,1.036,0.983
0.09812871,0.28389373,0.20329913,0.14858964,0.18421832,0.0818705,1.0,1.0,1.0,1.0,1.07882922,1.07882922,1.06087032,1.06959074,0.76085478,0.76338028,0.75570665,0.75968917,0.95661086,0.97027673,0.93315112,0.9339483000000001,0.9211559000000001,0.92329647,0.91616126,0.91794506,0.86195847,0.86529095,0.85439631,0.85516534,9798.982403534274,0.004825565004564781,1.000,1.011,0.965,1.001,1.051,1.012
0.11434877,0.08973781,0.20708203,0.13413888,0.3315551,0.12313739,1.0,1.0,1.0,1.0,1.09687446,1.099292,1.08487308,1.0870316,0.77377368,0.7758135,0.75939777,0.7597863,0.96230498,0.96913791,0.95103063,0.95672475,0.95433464,0.96931859,0.94684267,0.96860507,0.84747501,0.85990772,0.84632146,0.85901051,9774.948180753228,-0.0024557392554406627,1.000,0.992,1.003,1.014,0.991,0.998
0.23672672,0.01685856,0.28347394,0.12965998,0.2733757,0.05990505,1.0,1.0,1.0,1.0,1.10922121,1.11517873,1.09108962,1.0965291000000001,0.74686741,0.76075765,0.72608062,0.73336571,0.96332992,0.9788179,0.94863911,0.9551304,1.00285408,1.00963254,0.98929718,0.99714592,0.85772879,0.85875417,0.82991541,0.84619328,9777.075794215352,0.0002176361355985744,1.000,0.987,1.003,0.994,1.002,1.009
0.27170527,0.16628757,0.18308234,0.04553537,0.02866772,0.30472168,1.0,1.0,1.0,1.0,1.10084614,1.11595579,1.09998273,1.11163875,0.74929577,0.751627,0.73132589,0.7428849000000001,0.97642638,0.99123107,0.96799909,0.96925179,0.99357831,1.00035676,0.98858366,0.99892972,0.85631889,0.86118944,0.84273263,0.85657524,9729.654187465163,-0.004862086081550628,1.000,1.010,0.987,0.989,0.995,0.995
0.12160397,0.23608932,0.170255,0.26198855,0.08238379,0.12767933,1.0,1.0,1.0,1.0,1.0870316,1.10861682,1.08064238,1.10732171,0.75143273,0.75726081,0.74609034,0.7544439000000001,0.97027673,0.98849789,0.96902403,0.98314543,0.99571887,1.00249732,0.98965394,0.99714592,0.86400923,0.86772622,0.85593438,0.86195847,9663.38584537002,-0.006834266305517289,1.000,0.996,0.988,0.993,0.992,1.000
0.12004179,0.40427065,0.14482844,0.14855175,0.06872999,0.11357735,1.0,1.0,1.0,1.0,1.09834226,1.10386807,1.09238473,1.09756519,0.74162215,0.75084993,0.74152501,0.74900437,0.95945792,0.97403485,0.95900239,0.97084615,0.99108098,0.99785944,0.99072422,0.99464859,0.85977954,0.87426301,0.85965137,0.87195591,9468.594294207243,-0.020363630005889782,1.000,0.974,0.969,1.001,0.968,0.980
0.12206494,0.037313900000000004,0.51742387,0.07493967,0.14678979,0.10146784,1.0,1.0,1.0,1.0,1.09385253,1.10550855,1.0927301,1.09851494,0.73288004,0.74230209,0.7322001,0.73929092,0.95239722,0.96230498,0.93827582,0.96059674,0.98358901,0.98965394,0.98180521,0.98751338,0.86003589,0.86759805,0.85670341,0.86003589,9432.445415295777,-0.0038250724343322257,1.000,1.007,0.998,1.005,0.994,0.998
